credential_types,display_credential_types,display_levels,display_products,display_roles,display_subjects,exam_display_name,exams,hidden,icon_url,last_modified,levels,locale,products,roles,subjects,title,uid,url
certification;role-based,;Role-based,Intermediate,Dynamics 365,Developer,Application development;Backend development;DevOps;Business applications;Custom app development;Technical infrastructure;Application management;Migration,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-06-19T20:52:00Z,intermediate,en-us,dynamics-365,developer,app-development;backend-development;devops;business-applications;custom-app-development;infrastructure;application-management;migration,Microsoft Certified: Dynamics 365: Finance and Operations Apps Developer Associate,certification.d365-finance-and-operations-apps-developer-associate,/credentials/certifications/d365-finance-and-operations-apps-developer-associate/
certification;role-based,;Role-based,Advanced,Dynamics 365,Functional Consultant;Solution Architect,,,MB-700,False,/media/learn/certification/badges/microsoft-certified-expert-badge.svg,2025-03-21T07:13:00Z,advanced,en-us,dynamics-365,functional-consultant;solution-architect,,Microsoft Certified: Dynamics 365: Finance and Operations Apps Solution Architect Expert,certification.d365-finance-and-operations-apps-solution-architect-expert,/credentials/certifications/d365-finance-and-operations-apps-solution-architect-expert/
certification;role-based,;Role-based,Intermediate,Microsoft Fabric,Data Engineer;Data Analyst,Data management;Data analytics,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-04-11T16:58:00Z,intermediate,en-us,fabric,data-engineer;data-analyst,data-management;data-analytics,Microsoft Certified: Fabric Analytics Engineer Associate,certification.fabric-analytics-engineer-associate,/credentials/certifications/fabric-analytics-engineer-associate/
certification;role-based,;Role-based,Intermediate,Microsoft Fabric,Data Engineer,Data management;Data engineering,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-05-27T16:00:00Z,intermediate,en-us,fabric,data-engineer,data-management;data-engineering,Microsoft Certified: Fabric Data Engineer Associate,certification.fabric-data-engineer-associate,/credentials/certifications/fabric-data-engineer-associate/
certification;role-based,;Role-based,Intermediate,Azure,Security Engineer,Security,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-07-24T19:47:00Z,intermediate,en-us,azure,security-engineer,security,Microsoft Certified: Identity and Access Administrator Associate,certification.identity-and-access-administrator,/credentials/certifications/identity-and-access-administrator/
certification;role-based,;Role-based,Intermediate,Microsoft 365;Microsoft 365 Security Center,Administrator,Security;Information protection and governance,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-07-07T17:10:00Z,intermediate,en-us,m365;m365-security-center,administrator,security;information-protection-governance,Microsoft Certified: Information Security Administrator Associate,certification.information-security-administrator,/credentials/certifications/information-security-administrator/
certification;role-based,;Role-based,Intermediate,Microsoft Power Platform,Developer,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-06-16T16:58:00Z,intermediate,en-us,power-platform,developer,,Microsoft Certified: Power Automate RPA Developer Associate,certification.power-automate-rpa-developer-associate,/credentials/certifications/power-automate-rpa-developer-associate/
certification;role-based,;Role-based,Intermediate,Microsoft Power Platform;Power BI,Data Analyst,Data management;Data analytics,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-04-29T21:54:00Z,intermediate,en-us,power-platform;power-bi,data-analyst,data-management;data-analytics,Microsoft Certified: Power BI Data Analyst Associate,certification.data-analyst-associate,/credentials/certifications/data-analyst-associate/
certification;role-based,;Role-based,Intermediate,Microsoft Power Platform,Developer,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-04-29T21:54:00Z,intermediate,en-us,power-platform,developer,,Microsoft Certified: Power Platform Developer Associate,certification.power-platform-developer-associate,/credentials/certifications/power-platform-developer-associate/
certification;role-based,;Role-based,Intermediate,Microsoft Power Platform,Functional Consultant,Business applications,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-04-29T21:54:00Z,intermediate,en-us,power-platform,functional-consultant,business-applications,Microsoft Certified: Power Platform Functional Consultant Associate,certification.power-platform-functional-consultant-associate,/credentials/certifications/power-platform-functional-consultant-associate/
certification;fundamentals,;Fundamentals,Beginner,Microsoft Power Platform,App Maker,,,,False,/media/learn/certification/badges/microsoft-certified-fundamentals-badge.svg,2025-06-20T17:57:00Z,beginner,en-us,power-platform,maker,,Microsoft Certified: Power Platform Fundamentals,certification.power-platform-fundamentals,/credentials/certifications/power-platform-fundamentals/
certification;role-based,;Role-based,Advanced,Dynamics 365;Microsoft Power Platform;AI Builder;Power Automate;Power BI;Power Apps;Microsoft Copilot Studio;Azure;Microsoft Entra;Microsoft Entra ID;Customer Engagement apps;Microsoft Dataverse;Azure App Configuration;Azure App Service,Developer;Functional Consultant;Solution Architect,,,PL-600,False,/media/learn/certification/badges/microsoft-certified-expert-badge.svg,2025-03-07T18:18:00Z,advanced,en-us,dynamics-365;power-platform;ai-builder;power-automate;power-bi;power-apps;microsoft-copilot-studio;azure;entra;entra-id;dynamics-customer-engagement;dataverse;azure-app-configuration;azure-app-service,developer;functional-consultant;solution-architect,,Microsoft Certified: Power Platform Solution Architect Expert,certification.power-platform-solution-architect-expert,/credentials/certifications/power-platform-solution-architect-expert/
certification;role-based,;Role-based,Intermediate,Azure,Security Operations Analyst,Security,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-04-22T07:36:00Z,intermediate,en-us,azure,security-operations-analyst,security,Microsoft Certified: Security Operations Analyst Associate,certification.security-operations-analyst,/credentials/certifications/security-operations-analyst/
certification;fundamentals,;Fundamentals,Beginner,Azure,Security Engineer,Security,,,False,/media/learn/certification/badges/microsoft-certified-fundamentals-badge.svg,2025-07-18T20:16:00Z,beginner,en-us,azure,security-engineer,security,"Microsoft Certified: Security, Compliance, and Identity Fundamentals",certification.security-compliance-and-identity-fundamentals,/credentials/certifications/security-compliance-and-identity-fundamentals/
certification;role-based,;Role-based,Intermediate,Microsoft Entra;Microsoft Entra ID;Azure;Azure Arc;Azure Automation;Microsoft Defender;Microsoft Defender for Cloud;Azure Disk Encryption;Azure Files;Azure Monitor;Azure Policy;Azure PowerShell;Microsoft Sentinel;Azure Virtual Machines;Microsoft Defender for Endpoint;Windows Server,Administrator;Identity and Access Administrator;Information Protection and Compliance Administrator;Network Engineer;Security Engineer;Support Engineer;Technology Manager,,,AZ-800;AZ-801,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-06-12T18:25:00Z,intermediate,en-us,entra;entra-id;azure;azure-arc;azure-automation;microsoft-defender;defender-for-cloud;azure-disk-encryption;azure-files;azure-monitor;azure-policy;azure-powershell;microsoft-sentinel;azure-virtual-machines;defender-endpoint;windows-server,administrator;identity-access-admin;ip-admin;network-engineer;security-engineer;support-engineer;technology-manager,,Microsoft Certified: Windows Server Hybrid Administrator Associate,certification.windows-server-hybrid-administrator,/credentials/certifications/windows-server-hybrid-administrator/
examination,,Advanced,Microsoft Defender;Microsoft Defender for Cloud;Microsoft Sentinel;Microsoft Entra;Microsoft Entra ID;Microsoft Defender for Identity;Microsoft Defender for Cloud Apps,Administrator;Security Engineer;Security Operations Analyst;Solution Architect,,SC-100,,False,/media/learn/certification/badges/certification-exam.svg,2025-07-22T16:54:00Z,advanced,en-us,microsoft-defender;defender-for-cloud;microsoft-sentinel;entra;entra-id;defender-identity;defender-for-cloud-apps,administrator;security-engineer;security-operations-analyst;solution-architect,,Microsoft Cybersecurity Architect,exam.sc-100,/credentials/certifications/exams/sc-100/
examination,,Intermediate,Dynamics 365;Customer Service,Functional Consultant,,MB-230,,False,/media/learn/certification/badges/certification-exam.svg,2025-03-18T22:05:00Z,intermediate,en-us,dynamics-365;dynamics-customer-service,functional-consultant,,Microsoft Dynamics 365 Customer Service Functional Consultant,exam.mb-230,/credentials/certifications/exams/mb-230/
examination,,Intermediate,Dynamics 365;Field Service,Functional Consultant,,MB-240,,False,/media/learn/certification/badges/certification-exam.svg,2025-03-19T19:37:00Z,intermediate,en-us,dynamics-365;dynamics-field-service,functional-consultant,,Microsoft Dynamics 365 Field Service Functional Consultant,exam.mb-240,/credentials/certifications/exams/mb-240/
examination,,Advanced,Dynamics 365;Supply Chain Management,Functional Consultant,,MB-335,,False,/media/learn/certification/badges/certification-exam.svg,2025-07-07T23:29:00Z,advanced,en-us,dynamics-365;dynamics-scm,functional-consultant,,Microsoft Dynamics 365 Supply Chain Management Functional Consultant Expert,exam.mb-335,/credentials/certifications/exams/mb-335/
examination,,Intermediate,Dynamics 365;Finance,Functional Consultant,,MB-300,,False,/media/learn/certification/badges/certification-exam.svg,2024-03-01T15:59:00Z,intermediate,en-us,dynamics-365;dynamics-finance,functional-consultant,,Microsoft Dynamics 365: Core Finance and Operations,exam.mb-300,/credentials/certifications/exams/mb-300/
examination,,Advanced,Dynamics 365,Functional Consultant;Solution Architect,,MB-700,,False,/media/learn/certification/badges/certification-exam.svg,2025-03-21T07:13:00Z,advanced,en-us,dynamics-365,functional-consultant;solution-architect,,Microsoft Dynamics 365: Finance and Operations Apps Solution Architect,exam.mb-700,/credentials/certifications/exams/mb-700/
examination,,Advanced,Excel,Business User,,MO-211,,False,/media/learn/certification/badges/certification-exam.svg,2023-09-19T00:47:00Z,advanced,en-us,office-excel,business-user,,Microsoft Excel Expert (Microsoft 365 Apps),exam.mo-211,/credentials/certifications/exams/mo-211/
examination,,Intermediate,Office,Business User,,77-728,,False,/media/learn/certification/badges/certification-exam.svg,2023-09-19T00:47:00Z,intermediate,en-us,office,business-user,,Microsoft Excel Expert (Office 2016),exam.77-728,/credentials/certifications/exams/77-728/
certification;mos,;MOS,Advanced,Office,Business User,,,77-726;77-728;77-729,False,/media/learn/certification/badges/microsoft-certified-expert-badge.svg,2024-01-26T06:54:00Z,advanced,en-us,office,business-user,,Microsoft Office Specialist: 2016 Master,certification.microsoft-office-specialist-master-certification-2016,/credentials/certifications/microsoft-office-specialist-master-certification-2016/
certification;mos,;MOS,Intermediate,Access,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,office-access,business-user,,Microsoft Office Specialist: Access (Office 2016),certification.mos-access-2016,/credentials/certifications/mos-access-2016/
certification;mos,;MOS,Advanced,Access,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-expert-badge.svg,2025-02-18T16:41:00Z,advanced,en-us,office-access,business-user,,Microsoft Office Specialist: Access Expert (Office 2019),certification.mos-access-expert-2019,/credentials/certifications/mos-access-expert-2019/
certification;mos,;MOS,Intermediate,PowerPoint;Word;Excel,Business User,,,MO-110,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,office-powerpoint;office-word;office-excel,business-user,,Microsoft Office Specialist: Associate (Microsoft 365 Apps),certification.mos-associate-m365-apps,/credentials/certifications/microsoft-office-specialist-associate-m365-apps/
certification;mos,;MOS,Intermediate,Office,Business User,,,MO-100;MO-200;MO-300,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,office,business-user,,Microsoft Office Specialist: Associate (Office 2019),certification.microsoft-office-specialist-associate-2019,/credentials/certifications/microsoft-office-specialist-associate-2019/
certification;mos,;MOS,Intermediate,Excel,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,office-excel,business-user,,Microsoft Office Specialist: Excel (Office 2016),certification.mos-excel-2016,/credentials/certifications/mos-excel-2016/
certification;mos,;MOS,Intermediate,Excel,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,office-excel,business-user,,Microsoft Office Specialist: Excel Associate (Microsoft 365 Apps),certification.mos-excel-associate-m365-apps,/credentials/certifications/mos-excel-associate-m365-apps/
certification;mos,;MOS,Intermediate,Excel,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,office-excel,business-user,,Microsoft Office Specialist: Excel Associate (Office 2019),certification.mos-excel-2019,/credentials/certifications/mos-excel-2019/
certification;mos,;MOS,Advanced,Excel,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-expert-badge.svg,2025-02-05T01:17:00Z,advanced,en-us,office-excel,business-user,,Microsoft Office Specialist: Excel Expert (Microsoft 365 Apps),certification.mos-excel-expert-365-apps,/credentials/certifications/mos-excel-expert-m365-apps/
certification;mos,;MOS,Advanced,Excel,Business User,,,,False,/media/learn/certification/badges/certification-shield-3-stars.svg,2025-02-05T01:17:00Z,advanced,en-us,office-excel,business-user,,Microsoft Office Specialist: Excel Expert (Office 2016),certification.mos-excel-2016-expert,/credentials/certifications/mos-excel-2016-expert/
certification;mos,;MOS,Advanced,Excel,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-expert-badge.svg,2025-02-18T16:41:00Z,advanced,en-us,office-excel,business-user,,Microsoft Office Specialist: Excel Expert (Office 2019),certification.mos-excel-expert-2019,/credentials/certifications/mos-excel-expert-2019/
certification;mos,;MOS,Advanced,Word;Excel,Business User,,,MO-211,False,/media/learn/certification/badges/microsoft-certified-expert-badge.svg,2025-02-05T01:17:00Z,advanced,en-us,office-word;office-excel,business-user,,Microsoft Office Specialist: Expert (Microsoft 365 Apps),certification.mos-expert-m365-apps,/credentials/certifications/microsoft-office-specialist-expert-m365-apps/
certification;mos,;MOS,Advanced,Office;Excel;Office 365,Business User,,,MO-101;MO-201;MO-500,False,/media/learn/certification/badges/microsoft-certified-expert-badge.svg,2025-02-05T01:17:00Z,advanced,en-us,office;office-excel;office-365,business-user,,Microsoft Office Specialist: Expert (Office 2019),certification.microsoft-office-specialist-expert-2019,/credentials/certifications/microsoft-office-specialist-expert-2019/
certification;mos,;MOS,Intermediate,Outlook,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,office-outlook,business-user,,Microsoft Office Specialist: Outlook (Office 2016),certification.mos-outlook-2016,/credentials/certifications/mos-outlook-2016/
certification;mos,;MOS,Intermediate,Outlook,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,office-outlook,business-user,,Microsoft Office Specialist: Outlook Associate (Office 2019),certification.mos-outlook-2019,/credentials/certifications/mos-outlook-2019/
certification;mos,;MOS,Intermediate,PowerPoint,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,office-powerpoint,business-user,,Microsoft Office Specialist: PowerPoint (Office 2016),certification.mos-powerpoint-2016,/credentials/certifications/mos-powerpoint-2016/
certification;mos,;MOS,Intermediate,PowerPoint,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,office-powerpoint,business-user,,Microsoft Office Specialist: PowerPoint Associate (Microsoft 365 Apps),certification.mos-powerpoint-associate-365-apps,/credentials/certifications/mos-powerpoint-associate-m365-apps/
certification;mos,;MOS,Intermediate,PowerPoint,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,office-powerpoint,business-user,,Microsoft Office Specialist: PowerPoint Associate (Office 2019),certification.mos-powerpoint-2019,/credentials/certifications/mos-powerpoint-2019/
certification;mos,;MOS,Intermediate,Word,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,office-word,business-user,,Microsoft Office Specialist: Word (Office 2016),certification.mos-word-2016,/credentials/certifications/mos-word-2016/
certification;mos,;MOS,Intermediate,Word,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,office-word,business-user,,Microsoft Office Specialist: Word Associate (Microsoft 365 Apps),certification.mos-word-associate-m365-apps,/credentials/certifications/mos-word-associate-m365-apps/
certification;mos,;MOS,Intermediate,Word,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-associate-badge.svg,2025-02-05T01:17:00Z,intermediate,en-us,office-word,business-user,,Microsoft Office Specialist: Word Associate (Office 2019),certification.mos-word-2019,/credentials/certifications/mos-word-2019/
certification;mos,;MOS,Advanced,Word,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-expert-badge.svg,2025-02-05T01:17:00Z,advanced,en-us,office-word,business-user,,Microsoft Office Specialist: Word Expert (Microsoft 365 Apps),certification.mos-word-expert-365-apps,/credentials/certifications/mos-word-expert-m365-apps/
certification;mos,;MOS,Advanced,Word,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-expert-badge.svg,2025-02-05T01:17:00Z,advanced,en-us,office-word,business-user,,Microsoft Office Specialist: Word Expert (Office 2016),certification.mos-word-2016-expert,/credentials/certifications/mos-word-2016-expert/
certification;mos,;MOS,Advanced,Word,Business User,,,,False,/media/learn/certification/badges/microsoft-certified-expert-badge.svg,2025-02-18T16:41:00Z,advanced,en-us,office-word,business-user,,Microsoft Office Specialist: Word Expert (Office 2019),certification.mos-word-expert-2019,/credentials/certifications/mos-word-expert-2019/
examination,,Intermediate,Microsoft Power Platform;Power Apps;Power BI;Power Automate;Microsoft Dataverse;AI Builder;Microsoft Copilot Studio,Business Analyst;Developer;Functional Consultant,,PL-200,,False,/media/learn/certification/badges/certification-exam.svg,2025-07-08T20:15:00Z,intermediate,en-us,power-platform;power-apps;power-bi;power-automate;dataverse;ai-builder;microsoft-copilot-studio,business-analyst;developer;functional-consultant,,Microsoft Power Platform Functional Consultant,exam.pl-200,/credentials/certifications/exams/pl-200/
examination,,Advanced,Dynamics 365;Microsoft Power Platform;AI Builder;Power Automate;Power BI;Power Apps;Microsoft Copilot Studio;Azure;Microsoft Entra;Microsoft Entra ID;Customer Engagement apps;Microsoft Dataverse;Azure App Configuration;Azure App Service,Developer;Functional Consultant;Solution Architect,,PL-600,,False,/media/learn/certification/badges/certification-exam.svg,2025-04-29T21:54:00Z,advanced,en-us,dynamics-365;power-platform;ai-builder;power-automate;power-bi;power-apps;microsoft-copilot-studio;azure;entra;entra-id;dynamics-customer-engagement;dataverse;azure-app-configuration;azure-app-service,developer;functional-consultant;solution-architect,,Microsoft Power Platform Solution Architect,exam.pl-600,/credentials/certifications/exams/pl-600/
examination,,Intermediate,PowerPoint,Business User,,77-729,,False,/media/learn/certification/badges/certification-exam.svg,2023-12-15T19:39:00Z,intermediate,en-us,office-powerpoint,business-user,,Microsoft PowerPoint (Office 2016),exam.77-729,/credentials/certifications/exams/77-729/
examination,,Intermediate,Word,Business User,,MO-110,,False,/media/learn/certification/badges/certification-exam.svg,2023-10-31T21:24:00Z,intermediate,en-us,office-word,business-user,,Microsoft Word (Microsoft 365 Apps),exam.mo-110,/credentials/certifications/exams/mo-110/
examination,,Intermediate,Office,Business User,,77-726,,False,/media/learn/certification/badges/certification-exam.svg,2023-12-15T19:39:00Z,intermediate,en-us,office,business-user,,Microsoft Word Expert (Office 2016),exam.77-726,/credentials/certifications/exams/77-726/
